Sigma: 0.000, Fitness: 0.169
Sigma: 0.950, Fitness: 0.251
Sigma: 0.850, Fitness: 0.252
Sigma: 0.550, Fitness: 0.252
Sigma: 0.600, Fitness: 0.253
Sigma: 0.900, Fitness: 0.255
Sigma: 0.750, Fitness: 0.255
Sigma: 0.400, Fitness: 0.259
Sigma: 0.800, Fitness: 0.259
Sigma: 0.450, Fitness: 0.261
Sigma: 0.050, Fitness: 0.261
Sigma: 0.650, Fitness: 0.276
Sigma: 0.700, Fitness: 0.278
Sigma: 0.350, Fitness: 0.282
Sigma: 0.500, Fitness: 0.283
Sigma: 0.300, Fitness: 0.283
Sigma: 0.250, Fitness: 0.287
Sigma: 0.150, Fitness: 0.288
Sigma: 0.200, Fitness: 0.290
Sigma: 0.100, Fitness: 0.293
