Sigma: 0.000, Fitness: 0.145
Sigma: 0.050, Fitness: 0.147
Sigma: 0.650, Fitness: 0.577
Sigma: 0.750, Fitness: 0.578
Sigma: 0.900, Fitness: 0.578
Sigma: 0.800, Fitness: 0.578
Sigma: 0.600, Fitness: 0.578
Sigma: 0.250, Fitness: 0.578
Sigma: 0.700, Fitness: 0.578
Sigma: 0.550, Fitness: 0.579
Sigma: 0.850, Fitness: 0.579
Sigma: 0.950, Fitness: 0.579
Sigma: 0.500, Fitness: 0.579
Sigma: 0.400, Fitness: 0.579
Sigma: 0.200, Fitness: 0.580
Sigma: 0.300, Fitness: 0.580
Sigma: 0.450, Fitness: 0.613
Sigma: 0.150, Fitness: 0.615
Sigma: 0.350, Fitness: 0.615
Sigma: 0.100, Fitness: 0.615
