Sigma: 0.000, Fitness: 0.075
Sigma: 0.800, Fitness: 0.108
Sigma: 0.950, Fitness: 0.110
Sigma: 0.750, Fitness: 0.138
Sigma: 0.450, Fitness: 0.140
Sigma: 0.600, Fitness: 0.142
Sigma: 0.550, Fitness: 0.142
Sigma: 0.650, Fitness: 0.144
Sigma: 0.700, Fitness: 0.144
Sigma: 0.850, Fitness: 0.146
Sigma: 0.100, Fitness: 0.150
Sigma: 0.400, Fitness: 0.166
Sigma: 0.350, Fitness: 0.172
Sigma: 0.900, Fitness: 0.173
Sigma: 0.250, Fitness: 0.177
Sigma: 0.500, Fitness: 0.203
Sigma: 0.150, Fitness: 0.218
Sigma: 0.300, Fitness: 0.228
Sigma: 0.050, Fitness: 0.249
Sigma: 0.200, Fitness: 0.281
